,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
291,5.9841890335,3.5804991722,-5.8730096817,-2.4150528908,1.7840967178,11.7619094849,4.4027891159,1.7001702785,5.0534548759,-3.9474170208,-7.5317349434,3.6106748581,3.3126890659,-1.533354044,1.5634362698,0.4110983312,5.4372529984,0.0838796347,-10.3305397034,-0.0377665162
292,7.5363564491,5.3967041969,-6.2756676674,-1.0297955275,3.8945159912,9.7429609299,-0.4064769149,2.3074579239,4.1840147972,-2.8309128284,-8.2154054642,3.0769405365,0.9203147888,-6.4963283539,-0.233909145,2.4687099457,5.8795170784,0.3422598243,-5.83811903,2.8261044025
293,6.7423558235,4.8516540527,-3.9172413349,0.3780935705,3.7681548595,3.6795134544,-5.0309166908,2.1914699078,1.1475762129,-1.2004773617,-6.101213932,1.4370751381,-2.1708176136,-8.5473384857,-0.8063061237,3.1325771809,3.9831571579,0.46201998,0.7015402913,3.9209196568
294,3.2495083809,2.7959284782,0.444103092,1.3474907875,1.8812249899,-4.2010822296,-7.437435627,1.4389611483,-2.136869669,0.3526327312,-1.760615468,-0.8034771681,-4.5509328842,-6.7905421257,-0.8157360554,2.6988003254,0.6223288774,0.0791646615,6.3274388313,3.0043301582
295,-2.0718033314,0.065019764,4.0227627754,2.3414058685,-0.34895432,-10.0683870316,-7.0112023354,-0.1735575646,-4.4406027794,1.3974694014,3.4767699242,-3.13078475,-4.5000109673,-2.2151381969,-1.3221235275,1.0117851496,-3.0685472488,-1.2664868832,9.3997116089,0.5072836876
296,-6.7452783585,-2.7667894363,5.4862885475,2.8195035458,-2.3594162464,-11.3848056793,-4.0766072273,-1.8624587059,-4.7244434357,1.7576929331,7.7909646034,-4.6159992218,-2.7545304298,3.1608669758,-2.3414993286,-1.5390119553,-6.1417627335,-2.3547012806,9.2497749329,-1.6191663742
297,-8.850982666,-4.5537619591,4.7262358665,1.465364933,-3.4721484184,-7.9391078949,0.1517751515,-2.9799058437,-3.0345995426,1.5351464748,9.0602340698,-4.3151845932,-0.46588552,7.2232823372,-3.4004809856,-3.4193408489,-7.3808560371,-2.3132095337,5.8766880035,-1.7766462564
298,-8.2974452972,-5.31381464,2.3819544315,-0.9383251667,-2.500865221,-1.8087080717,3.3598387241,-3.3005235195,-0.7883892655,1.0872246027,6.3821325302,-2.0425703526,1.2286735773,8.4199409485,-3.2920367718,-3.9464740753,-6.1219596863,-0.9109783769,0.4771078825,-0.7110638022
299,-5.131816864,-4.8847522736,-0.7072918415,-3.2656328678,-1.2381970882,3.7002592087,4.5763001442,-2.7969651222,1.0834525824,0.6939963698,0.7109702229,1.9255456924,1.7520349026,6.1482701302,-1.3126935959,-2.8129961491,-2.161387682,1.6907403469,-5.0676932335,0.9552055001
300,-0.077372238,-2.4772903919,-3.5032672882,-4.3529043198,-0.3697001934,7.0620307922,4.2641692162,-1.6314253807,2.1480920315,-0.0566263832,-5.1997122765,6.0388827324,1.9623224735,1.3795524836,1.2013268471,-0.379130125,3.2825131416,3.6399075985,-8.8198642731,1.9330896139
