,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
10,-8.4841585159,2.0830256939,1.6096428633,1.0985405445,-6.1662802696,0.2885091901,-0.3763011396,-2.8573167324,4.1227202415,5.2741150856,-3.7701342106,6.2887759209,-4.2567191124,-4.3265004158,3.4371640682,-3.3844499588,-1.7257246971,-4.5424456596,-2.0416274071,-2.8978655338
11,-3.9823079109,5.3099489212,0.9174857736,0.7873526812,-6.3539361954,4.8988037109,0.718514204,0.3366018534,1.2663933039,7.4250831604,-1.9048933983,4.5876159668,-0.7308666706,-4.7989401817,4.5612120628,-1.8681166172,-1.3390973806,-1.2759168148,-4.4726643562,-2.2943496704
12,2.6827692986,6.3444128036,0.1187703833,1.3710656166,-3.078920126,8.1370429993,2.892113924,4.5546112061,-0.1886454523,6.0709447861,0.850533247,1.7492059469,3.4597959518,-3.1034379005,4.6064758301,0.276250273,0.2338155806,3.0231900215,-5.1355886459,-1.7568434477
13,8.7377300262,5.4674286842,-0.0245646071,1.9717524052,2.5017147064,8.2266273499,5.1496400833,8.0031375885,0.1480031759,1.7020562887,3.4409360886,-1.139182806,7.1252112389,-0.262198925,3.5833280087,2.1886408329,2.5582942963,7.4863777161,-3.6890368462,-0.8732586503
14,12.4248342514,3.7030882835,1.5606073141,1.7831536531,7.6193399429,5.5079774857,6.6197667122,8.3030099869,0.6289297938,-3.1835923195,5.341067791,-2.4367415905,8.6038246155,2.9326627254,2.3055720329,3.2070736885,5.0223360062,9.9438180923,-0.40741992,1.2456474304
15,12.6106033325,1.6794244051,5.0242218971,0.5572623014,10.0701799393,2.212215662,6.0794315338,4.9289793968,1.0202720165,-6.0172877312,6.5254673958,-1.6333112717,7.09597826,4.6696562767,1.6897974014,3.351351738,6.5820469856,10.2936687469,3.968069315,3.5682401657
16,8.9942245483,0.1630910784,8.6236276627,-0.8525127769,9.69298172,-0.679001987,2.8779690266,0.0744496956,2.5809261799,-5.0620350838,6.7093510628,-0.0707712844,3.3664395809,5.0798587799,1.5087425709,3.3334348202,6.6329684258,8.3096113205,8.2473735809,5.0977754593
17,3.5305204391,-1.4343397617,10.2955551147,-1.0005627871,7.0469427109,-1.8766036034,-1.0297955275,-3.207167387,4.9648132324,-1.0024487972,5.630566597,1.6982842684,-0.721436739,4.5979890823,0.6345877647,3.7549529076,5.3627567291,3.9077177048,10.7170734406,5.5089206696
18,-1.3777600527,-2.7686753273,9.325214386,0.6609916091,2.9402065277,-0.3989329934,-3.3985948563,-3.5192980766,7.5476722717,3.6615965366,3.903002739,2.892113924,-3.5834217072,3.1523799896,-0.0858591795,4.0105042458,3.1212613583,-0.7289806604,10.3229017258,3.8633971214
19,-4.5433888435,-1.7360975742,6.1039495468,3.470168829,-1.1363538504,2.394213438,-3.077034235,-1.0147076845,9.2903242111,7.0780615807,1.2428184748,3.4777128696,-4.5895957947,1.7048852444,0.6628775597,3.3296627998,0.4101553261,-4.294438839,7.0375127792,1.268279314
20,-4.8517475128,1.7397760153,1.9519494772,6.5066075325,-3.7031817436,5.5287232399,-0.2763438523,2.8100736141,8.6924657822,8.2803783417,-1.6182234287,4.2735991478,-3.6428301334,0.5082266331,3.0005581379,1.9745813608,-0.9524701238,-5.2468619347,2.0000422001,-0.5828166604
21,-1.9086654186,6.5603580475,-0.9034344554,8.3341283798,-3.7475025654,8.010682106,3.5984158516,6.4273962975,6.202963829,7.6947793961,-2.671546936,4.9817872047,-0.5545268655,-0.0566263832,5.9757022858,1.0042412281,-0.4611705542,-2.3933639526,-2.8460009098,-1.4211378098
22,3.2485654354,9.8485765457,-1.4381116629,8.5670480728,-0.8874035478,8.9225568771,7.1912207603,8.7160406113,2.9543514252,6.0058779716,-1.3343824148,5.3580417633,4.0039029121,0.7364310622,8.2105970383,1.1164573431,1.7935266495,2.8609950542,-5.0714650154,-1.2655439377
23,8.4322004318,9.5147562027,0.5959250331,7.2911782265,3.9586393833,9.2676925659,9.5156993866,8.7952528,0.4261862338,3.7785277367,2.1132013798,5.5532412529,8.1012096405,2.9326627254,9.2337446213,2.459280014,5.2580842972,8.4171123505,-3.1609606743,-0.1301798671
24,11.6940145493,6.9856481552,4.6470246315,5.0666565895,9.3601055145,10.029630661,10.2823534012,7.4920358658,0.7798087597,2.5083155632,6.8800330162,4.9431242943,10.1625928879,6.072830677,9.0875806808,4.291516304,8.7933664322,12.2560386658,1.8915979862,2.1509211063
