,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
156,30.61028862,10.5345516205,7.8963112831,13.2657489777,5.4918994904,15.39320755,9.4708223343,2.5019574165,-1.0131411552,-1.4031752348,25.9988765717,11.0846242905,17.3012123108,17.8436183929,-6.3768286705,22.1330356598,7.9825596809,9.946146965,23.4200515747,1.4986019135
157,17.4372940063,3.3011920452,1.1900244951,6.0400557518,1.5148932934,15.4229154587,-1.1463468075,-10.5684976578,-13.1540307999,-6.5502839088,20.5479831696,13.8618211746,17.8857841492,20.9696407318,-5.4089307785,15.9796962738,9.817732811,11.0070009232,14.4186019897,-5.3447237015
158,-7.5153069496,-1.5296727419,-3.312138319,-5.0112304688,-3.9848752022,6.6591267586,-8.8751554489,-20.1458950043,-22.4343509674,-1.8315418959,9.3242006302,10.6821327209,15.1105051041,21.5130062103,0.5163292885,6.3400082588,11.2552042007,7.4085292816,7.5829424858,-4.2330789566
159,-25.5,-4.9767308235,-0.3221961558,-12.7170391083,-4.1027479172,-2.7563157082,-9.7347640991,-20.7716751099,-18.7151317596,6.6207942963,-7.2373957634,9.0510807037,8.5709648132,11.4277009964,5.8416843414,-3.5680081844,6.1349287033,-6.0807094574,1.2398569584,-1.9819973707
160,-27.7894134521,-4.9575648308,-0.329862684,-9.9484682083,0.331374526,-4.9268984795,-8.7189502716,-10.4947071075,-7.6379709244,8.1224737167,-23.4424991608,3.5541870594,-1.3408848047,-7.7002615929,4.6591238976,-13.1099481583,-3.9245014191,-16.0347251892,-11.9935121536,-1.5248812437
161,-15.7376480103,-4.0414156914,-7.7654271126,-2.7016916275,0.5230374932,-6.5148262978,-8.3586235046,5.0424499512,3.5829365253,4.3141307831,-32.7429428101,-9.317896843,-10.6997871399,-21.8469047546,-1.1607215405,-17.756816864,-10.9489488602,-15.7117729187,-20.7544250488,-0.6029824018
162,0.2288348377,-3.5277590752,-8.0644216537,0.9763203263,-1.3485512733,-6.8761110306,-4.4879903793,18.8565578461,14.6160144806,0.974403739,-24.8933868408,-15.2374076843,-20.2723922729,-24.7927646637,-0.8674772382,-18.6509246826,-13.4443998337,-8.7266168594,-17.4376983643,1.1037762165
163,10.118642807,2.1100068092,1.1603168249,5.089407444,1.9720094204,-5.1281447411,7.1766171455,24.3237438202,18.9820957184,0.9312795401,-4.7515268326,-15.1961994171,-21.1799163818,-18.3452224731,4.446378231,-10.5847892761,-9.5133934021,5.0156168938,-3.7127137184,5.0367002487
164,17.2868385315,6.5412540436,9.0999546051,11.0386257172,7.6663155556,-5.3916811943,18.6620197296,18.2087364197,18.0218658447,0.1646277457,15.3788328171,-7.9187574387,-7.367726326,-2.6125683784,6.9092469215,6.4310479164,2.9609901905,15.6030788422,10.6370916367,9.7458591461
165,21.2504272461,5.953807354,11.2983283997,13.1191272736,8.01130867,0.829698205,17.5273742676,5.9768066406,13.8139047623,-2.1765351295,30.4483337402,9.8790645599,10.7166318893,14.2978544235,5.5513148308,23.1929321289,16.5048522949,18.0534896851,15.2868347168,8.1090574265
166,16.7626399994,4.8412036896,3.9585959911,6.0419721603,2.3035862446,13.1756677628,4.8383288383,-3.8986268044,-0.4793597758,-2.4784042835,31.5005626678,19.8417053223,21.2830104828,22.5757770538,0.2729173005,30.1570053101,17.4717922211,14.6562633514,16.2288589478,2.9916563034
167,4.2872977257,1.8043043613,-5.7050499916,-8.1669607162,-4.3883256912,15.8838653564,-9.5948495865,-12.6518735886,-16.3768444061,-0.7361881137,17.2590465546,17.7909107208,18.8584747314,21.9107055664,-4.6173629761,17.2906703949,6.3352165222,3.9662623405,15.6787853241,-1.6734199524
168,-8.6480350494,-0.8003952503,-5.8334646225,-13.175113678,-5.9321708679,9.6653604507,-13.4367341995,-19.9005661011,-24.364397049,2.0755074024,-1.9398314953,9.4037408829,8.5172996521,11.5992393494,-5.6839671135,-4.8310670853,-5.2124762535,-10.1286315918,7.1325345039,-8.1477947235
169,-14.8272485733,-2.2714083195,-2.0979533195,-5.9302539825,-2.8991045952,1.743930459,-8.8818635941,-19.3974514008,-22.4238090515,2.6802039146,-17.2642421722,-3.4501354694,-2.2723667622,-4.1190390587,-6.974817276,-17.8353977203,-10.4487085342,-18.4400959015,-6.6969060898,-11.9216384888
170,-15.235490799,-6.1822910309,-4.1372470856,-1.4673823118,-1.3964669704,-6.5244092941,-6.0337519646,-11.3840236664,-9.0045280457,-0.9604337811,-23.485622406,-10.4966239929,-8.5407037735,-14.1918859482,-6.7965707779,-20.5531787872,-8.4726629257,-14.0845546722,-19.4309921265,-8.546453476
