15m/min,20m/min,30m/min,40m/min,50m/min,60m/min,70m/min,80m/min,90m/min,100m/min,110m/min,120m/min,°
3.1243258,-0.976293663,1.081653316,-0.720852796,-4.277798192,-2.280278085,-1.647169271,-1.647169271,3.148526992,-7.012114131,13.69507609,-5.342135135,-0.517793005
2.850390268,-1.841496597,1.828749183,1.65296192,-4.049824085,0.090103287,-0.293058012,-0.293058012,1.432541173,-2.367485047,13.20616777,-6.361151924,-0.392592229
1.610620181,-1.772829697,1.376234315,3.364141057,-2.197191136,2.459111321,0.92165944,0.92165944,-0.70437274,3.403967858,6.629938798,-5.445822153,-0.208085823
-0.198672231,-0.492192021,-0.016330407,3.925149626,0.196536981,4.266424116,1.911149463,1.911149463,-2.339331618,8.205844142,-1.325808181,-2.860513386,0.060201554
-1.704846975,1.064486591,-1.301088097,3.046213312,2.310790818,4.201877231,1.972949672,1.972949672,-2.785666465,9.810589584,-8.404678853,1.444901215,0.405680386
-2.336499009,1.913896139,-2.131957582,1.054186556,3.244660651,2.549064959,0.619525082,0.619525082,-2.557692359,7.11404044,-11.11358804,5.786709272,0.686205432
-2.231066777,1.854155936,-2.429971926,-1.310701463,2.579278395,0.000836318,-0.959126938,-0.959126938,-2.111357512,1.534168184,-9.189541515,7.356434595,0.678674558
-1.330186008,1.242333861,-2.033077246,-3.293114853,1.151006885,-2.72798627,-1.730256219,-1.730256219,-0.236064486,-4.077290845,-4.565512501,5.314967672,0.35296427
0.131744854,0.468457903,-0.884280017,-3.974290496,-0.646005876,-4.02647734,-1.778323049,-1.778323049,2.075950021,-7.358881974,2.800385811,0.736258812,-0.173255532
1.435527367,-0.547125541,1.067233267,-3.029433958,-2.656572694,-3.670096131,-1.031913851,-1.031913851,3.239853968,-7.590976094,8.927533256,-3.260154741,-0.639228344
2.078475711,-1.47687536,3.119686894,-1.209074452,-3.674902814,-2.324911569,0.300910669,0.300910669,3.471948089,-5.260421524,10.30773794,-4.659586153,-0.798318051
1.73205552,-1.61352249,4.099563551,0.774712275,-2.881800124,-0.140617495,1.488161361,1.488161361,2.152856949,-0.49974538,8.252537634,-4.912280343,-0.577098635
0.672085044,-0.833466512,3.556408375,2.465291342,-0.49974538,1.747035573,2.442631265,2.442631265,0.107270012,5.023820018,2.692578779,-3.517655614,-0.118656697
-0.297514948,0.270010564,1.729182179,3.432121287,2.472158032,2.772919052,2.290190748,2.290190748,-1.225554508,8.185930741,-4.255138115,-0.244991183,0.351081551
-0.95552504,1.084399992,-0.743512873,3.4163279,3.936822999,2.983039764,0.680638623,0.680638623,-2.839226647,8.019070176,-8.593512827,2.264783995,0.658906015
-1.31512426,1.190147018,-3.047974021,2.134316886,3.313327551,2.276457368,-1.144527566,-1.144527566,-3.831463345,4.745032406,-9.748490077,3.925149626,0.683381354
-1.424321929,0.995819692,-4.357451795,-0.083623969,1.499834734,1.324734141,-2.512372205,-2.512372205,-2.907206877,-0.21271774,-6.688693034,4.024029961,0.407563104
-1.376312609,0.640125152,-4.184411208,-2.274098064,-0.748319556,0.366144223,-3.07612745,-3.07612745,-0.891833376,-4.184411208,0.202030333,2.505118143,-0.053702912
-0.985648535,-0.43794517,-2.527478923,-3.827343331,-2.786353134,-0.843766546,-2.171097714,-2.171097714,1.908402787,-6.685259689,6.099143665,1.369367625,-0.490493588
-0.162900581,-1.795489774,-0.153664206,-4.084844204,-4.049824085,-1.956856988,-0.21958443,-0.21958443,3.380621112,-7.410382148,8.645312299,-0.120704094,-0.71547844
0.737038829,-2.506878853,1.992176404,-2.996473847,-4.002443925,-2.585159118,2.317657508,2.317657508,1.949602926,-5.090127613,7.08657368,-2.357871681,-0.654290091
1.471299017,-2.059857337,3.198653829,-0.858873264,-2.063290682,-2.348944984,4.392084543,4.392084543,0.408717701,-0.701626064,1.350140893,-3.514222269,-0.351172424
1.822426005,-0.460605247,3.307834199,1.992176404,1.160620251,-1.389668398,4.723058998,4.723058998,-0.770292964,3.634688641,-4.262691474,-3.041794,-0.011341747
1.603089308,1.127660139,2.586831754,4.097503544,3.841376008,-0.163964241,3.124493577,3.124493577,-1.916343517,6.419818086,-7.373988692,-0.717419451,0.320958056
0.835881547,1.731242186,1.213493763,4.472424815,4.630358684,1.204567066,0.132676765,0.132676765,-1.522195514,6.652598875,-7.661703001,1.957842954,0.609013976
-0.262684657,1.72162882,-0.707119416,3.214447216,3.541301657,2.115090154,-3.112520907,-3.112520907,-0.993460387,4.271230799,-3.483322164,3.425254597,0.67679184
-1.25487727,1.273920635,-2.554259014,0.483564621,1.260187255,2.191310413,-5.143687795,-5.143687795,-1.002387084,0.487684635,1.931749532,3.805669221,0.396266793
-1.497747948,0.498671339,-3.297921536,-2.026897225,-1.546915598,1.753902263,-4.851853472,-4.851853472,-0.078130617,-3.273888121,5.270334187,2.973426398,-0.090415921
-0.833148342,-0.27383128,-2.515118881,-3.273888121,-3.885710196,0.902432709,-2.088697435,-2.088697435,0.413524384,-6.065884256,6.513205069,1.091266682,-0.515910286
0.181636892,-0.880160003,-0.621285792,-3.801936578,-4.809279994,-0.326704793,1.70789544,1.70789544,0.187610284,-6.819160143,4.01098325,-1.413701813,-0.660879606
0.756807373,-0.84101987,1.221047122,-3.072694105,-3.811549944,-1.453528614,4.414744619,4.414744619,0.063323196,-4.822326705,0.081863259,-3.552675733,-0.36811689
0.701267179,-0.230571134,2.051916607,-1.171994326,-1.304521442,-2.658632701,5.333507735,5.333507735,-0.098730687,-1.14178089,-2.557692359,-4.700099624,0.134568932
0.353905629,0.199283657,1.832869197,0.61403173,1.282160663,-3.621342632,4.004803229,4.004803229,0.090103287,3.190413801,-5.311921699,-4.676066209,0.57983184
-0.221264852,0.20409034,0.688191982,2.332764226,2.428897885,-3.336374999,0.638065145,0.638065145,0.289237296,6.559211892,-5.818683417,-2.64558599,0.813288926
-0.872685429,0.007703008,-0.628839151,3.21170054,2.58271174,-1.719956184,-2.947720348,-2.947720348,0.29335731,6.919713114,-2.745839663,0.267263888,0.776575916
-1.256759989,-0.13718415,-1.022300485,2.650005301,2.629405232,0.620211751,-5.136134436,-5.136134436,0.530258113,4.672932162,1.09950671,2.762619017,0.533705239
-1.185216689,-0.091177328,-0.582145659,1.609701774,2.213970489,3.173933745,-4.834686747,-4.834686747,0.343484146,1.203193728,5.400801297,4.637225374,0.134568932
