,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
32,25.4238796234,29.6730270386,40.1443367004,4.1508512497,27.7687244415,36.0486297607,15.1163597107,25.2149066925,21.0410652161,28.4803657532,41.178855896,39.4910583496,30.9692325592,48.0514793396,15.3451013565,28.5603790283,13.1461639404,28.9707965851,43.6959609985,41.814250946
33,18.9560279846,23.2465934753,35.7116317749,2.5910737514,15.3752241135,40.2412948608,20.121389389,23.4960441589,18.1794338226,23.1439876556,40.1716384888,36.4948158264,39.2453727722,46.0398635864,23.178817749,30.2547664642,19.5556526184,31.4530735016,35.613735199,42.163482666
34,22.0859375,23.4216804504,35.0498809814,15.5474863052,13.4050283432,47.3087730408,34.4173088074,29.1364707947,22.7476902008,22.6761493683,31.8013648987,27.9438095093,40.940700531,35.7455215454,28.3410491943,27.4449081421,24.9645137787,29.5261802673,23.5525245667,35.3228645325
35,33.0467376709,30.3441925049,39.3592720032,37.3617782593,23.0216159821,55.455947876,51.2388076782,39.7593345642,34.0323066711,30.4138507843,21.7536506653,19.2261886597,37.0539665222,22.7806358337,30.5484600067,22.4897670746,29.3049678802,25.8474769592,14.6221628189,25.4427070618
36,46.9030609131,40.9905891418,47.9112205505,59.8538246155,40.1000976563,62.7531089783,63.4365119934,52.8833045959,47.7173080444,45.1192474365,17.0432529449,15.7216320038,31.7373542786,13.6742477417,32.1647186279,19.104757309,32.4847679138,24.3225288391,14.2531633377,19.5217647552
37,57.2858886719,50.9742965698,57.498626709,75.7961273193,57.5033340454,65.9027862549,66.9147109985,63.8055114746,57.4214363098,62.0000495911,20.0150203705,21.6086864471,28.8540725708,13.330663681,35.4377059937,20.4339103699,36.1606445313,27.1578025818,22.9237174988,22.624376297
38,60.983417511,57.0957374573,64.1914520264,81.0901412964,69.3809890747,62.7314605713,61.1377944946,69.2171936035,60.6153564453,75.4431304932,29.7869262695,35.9309616089,30.4816265106,23.8302154541,40.2224693298,28.127368927,41.8632011414,34.8126678467,35.6156196594,34.095375061
39,58.0624809265,57.5560493469,65.8077163696,75.5551452637,71.9705734253,52.1236534119,49.3787460327,67.465385437,58.1679115295,81.1616821289,42.4647064209,51.3555335999,35.0931816101,41.4207763672,44.7267150879,40.2629470825,47.4669151306,45.1117172241,45.7103996277,49.1340026855
40,49.3486251831,52.3665161133,60.0194969177,60.6134757996,64.2093429565,35.5732574463,36.1672363281,56.6128387451,51.5296783447,75.8676681519,52.7759933472,60.7998580933,39.7687492371,57.117389679,47.8895683289,52.2742652893,50.3125419617,53.6975517273,48.5240249634,60.9551773071
41,37.7383079529,43.5594711304,46.2413063049,39.958896637,48.4044761658,19.0247459412,25.0962982178,39.1324119568,42.0279312134,57.6850090027,57.1268043518,60.0157318115,42.8704185486,62.8566551208,48.7574729919,59.8284072876,49.2111930847,56.6853218079,43.1923522949,63.9542427063
42,27.8393230438,33.6218910217,27.7819023132,19.9463043213,29.6250190735,8.5496683121,19.517999649,20.8226776123,32.1487159729,30.5023345947,52.9303703308,48.7979507446,43.243183136,56.1581802368,45.4204711914,59.1525382996,44.5921058655,52.0784721375,32.4574699402,56.895236969
43,23.0630340576,26.1722354889,10.6017589569,7.4897351265,14.3388242722,7.8210816383,21.3234634399,6.7498526573,25.243144989,3.6397111416,41.4113616943,31.4954338074,41.1835632324,41.2353363037,37.4662666321,49.3853378296,38.4264183044,41.1091995239,22.1612434387,41.9883956909
44,24.7197685242,24.8986206055,1.3814697266,6.7027864456,7.5556278229,17.976108551,29.2014217377,3.6246497631,23.338842392,-12.8071393967,29.1044654846,14.1354970932,38.5007820129,24.8101348877,27.8901557922,35.3172187805,31.9077339172,28.0850086212,18.9409675598,24.9984016418
45,32.3539237976,30.1822834015,4.8690829277,16.853105545,11.9120855331,35.8876609802,39.355506897,14.4649620056,26.5713577271,-11.5956525803,21.8280143738,3.9663512707,36.6623725891,12.3206205368,20.9695243835,23.9196414948,25.9180774689,18.3592281342,26.1703529358,12.8722381592
