15m/min,20m/min,30m/min,40m/min,50m/min,60m/min,70m/min,80m/min,90m/min,100m/min,110m/min,120m/min
-0.554263377,0.891527924,-1.922331359,4.285904741,1.794631624,3.509359366,-6.605677204,4.305851433,-2.04751405,-5.626225819,4.649759926,0.678304659
-0.568019717,0.345401238,-1.669214708,3.314707159,-1.535778213,4.115326129,-2.858450274,3.669620723,-5.3339036,-5.560883205,0.474710831,-3.291087157
-0.435958856,-0.025332116,-0.629235428,1.044223294,-4.203820295,3.433011681,1.710030135,1.399136858,-6.729484261,-2.835752314,-4.099272114,-6.644194955
-0.38712385,-0.226862492,0.581322464,-1.618316252,-4.87100277,1.291149592,5.372655576,-1.175362114,-6.248012372,1.475484543,-7.735072692,-7.583752956
-0.374743144,-0.147763539,1.46035257,-3.478861194,-3.193417145,-1.591491389,5.788784851,-3.181724257,-3.03040452,5.060386665,-8.457968343,-5.278878242
-0.237867564,-0.086547828,1.855847336,-3.709279884,-0.151202624,-4.151546204,3.723270448,-3.270452648,1.532573353,6.059096926,-5.492101507,-0.44627611
0.159690653,-0.323844687,1.710717952,-2.462267691,2.647524685,-5.68056336,1.328291709,-1.828788249,5.345142897,3.867712015,-0.419451248,5.296307891
0.629469653,-0.521935979,0.979568498,-0.580400422,4.069930208,-5.437763965,-1.002032234,-0.118187409,6.949819921,0.106728745,4.816211636,9.064857147
0.936923845,-0.369928425,-0.061098599,1.118507529,3.754910029,-2.996013671,-2.788980759,1.016022798,5.80047774,-3.414894214,8.502910671,8.855760784
1.013959347,0.062020641,-1.121024572,2.115154339,1.961771151,0.613649862,-2.962998456,1.311096284,2.589060241,-5.408875652,9.346174294,4.65319901
0.777350304,0.61640113,-1.891379594,2.311869996,-0.565956266,3.914483569,-1.96772728,1.119883163,-1.401653902,-4.635081544,7.313675105,-1.526148776
0.229847985,1.040784209,-1.882437973,1.658443861,-3.161089747,6.019891358,-0.173212768,0.987822302,-4.665345492,-1.396151366,2.573928267,-6.756309124
-0.527438515,1.079989778,-1.183615918,0.533863092,-4.561485127,6.085233972,1.445220596,0.736769102,-5.937119095,2.431550151,-3.888112299,-8.535003845
-1.285412831,0.639786908,-0.460720267,-0.535004501,-3.598541349,4.069242391,2.147481737,0.297254049,-5.064279342,5.303186061,-9.871432245,-6.182669759
-1.630696957,-0.151202624,-0.020517397,-1.335623471,-0.996529698,0.632220921,2.348324296,-0.698017127,-2.117671382,6.209041029,-12.58487025,-0.997217515
-1.218694584,-0.757857204,0.309634755,-1.775138524,1.563525117,-3.139767421,1.48305053,-1.517894972,1.82971029,4.958589751,-10.13349052,4.441351379
-0.270882779,-0.922933281,0.840629467,-1.727679152,3.263120885,-5.498979676,-0.491672031,-1.289539733,4.845099949,2.462501916,-2.413432685,8.30481938
0.727139665,-0.692514591,1.331730794,-0.967641384,3.98739217,-5.86077141,-1.895506496,-0.325908138,5.781906682,-0.1704615,7.123149801,8.597141598
1.318662271,-0.278448766,1.212050638,0.608835143,3.573326345,-4.619261754,-2.352216974,0.72370058,4.047232247,-3.452724148,13.47032493,4.951023765
1.441093694,-0.092738181,0.489842805,2.104149267,1.684580907,-2.026191723,-1.541968566,1.432152073,0.328893631,-7.505341819,13.84931209,-0.638864866
1.260885644,-0.204852349,-0.208979251,2.498268399,-1.658897454,1.204484652,0.815868056,1.448659681,-3.338546529,-9.966350989,8.582697441,-5.258931549
0.872956865,-0.492359848,-0.491672031,1.689395626,-4.776771843,4.072681476,2.859372316,0.950680184,-5.225916334,-7.558991544,-0.286014753,-7.948295957
0.236038338,-0.638177049,-0.297707642,0.050327752,-5.712890759,5.731008225,3.248676729,-0.234428479,-4.633018093,-0.417387797,-8.955260022,-7.978559905
-0.646430853,-0.38712385,0.044137399,-1.577735049,-3.992660481,5.418739314,2.249278651,-1.459430528,-2.024128272,7.598431337,-13.45014401,-5.326337613
-1.475250319,0.163817555,0.192018051,-2.198145969,-0.504740554,3.230793487,-0.015702678,-1.515831521,1.450035315,11.84776467,-12.45556065,-1.228324021
-1.690537035,0.81724369,-0.112684873,-1.4339813,2.948100707,-0.017766129,-2.463643325,-0.725529806,4.798328394,10.30980589,-7.349895181,3.292009199
-1.142346898,1.377814532,-0.543946122,-0.01295141,5.05006941,-3.012521279,-4.075198519,0.205774391,6.072165449,4.496376738,-0.32315687,6.757231165
-0.343103563,1.458976936,-0.783306433,1.306281565,5.320381485,-4.828358117,-4.042183304,0.907347714,4.440663562,-2.82749851,6.942253934,7.141033042
0.314449474,1.055916183,-0.722090721,1.99409855,3.525866973,-5.031951944,-2.172008924,0.939675113,0.461642309,-8.859653461,11.54374956,4.602988371
0.790418827,0.423124558,-0.261941159,1.771245847,0.051703386,-3.64393727,0.656982332,0.381167722,-3.835150392,-11.14251803,10.9584173,0.182388613
0.9472411,-0.331410674,0.613649862,0.683119378,-3.472670841,-0.902986588,3.167514325,0.208525659,-6.093941368,-9.457366421,6.406444503,-4.038056402
0.637723457,-0.87753736,1.580032725,-0.651933389,-5.613157296,2.296738023,4.613305625,0.774599037,-5.232106687,-5.190149851,0.164505372,-6.122141864
0.093660222,-1.083882455,1.996849817,-1.627945689,-5.357289378,4.58716858,4.345744819,1.115068444,-2.075714546,0.13974396,-6.376634148,-6.188860112
-0.254375172,-1.017852024,1.40326376,-1.808841556,-2.662422434,4.580978227,2.549854673,0.647352894,2.091080744,5.475140307,-11.03453077,-4.334505522
-0.072103671,-0.680133885,-0.074167122,-1.248270714,1.000203007,2.849742878,-0.351357367,-0.422890333,5.234404362,9.626803623,-11.94107355,-0.755793753
0.372226101,-0.11337269,-1.65064365,-0.288766021,3.995645974,0.811053337,-3.366059208,-1.742811126,6.325969916,10.87794272,-7.777717345,2.855933231
0.568253941,0.467144845,-2.313699223,0.742271638,5.655348356,-1.235890008,-5.260307183,-2.174072375,5.057635397,7.960910888,0.358469761,5.439373823
0.213340377,0.847507637,-1.741435492,1.385380519,5.693178291,-3.07373699,-5.730774,-1.737996407,1.672200201,1.978966576,8.151436192,5.802541191
-0.427705052,0.774599037,-0.579712605,1.558022582,3.765915101,-3.915624979,-3.98371886,-0.791560237,-2.245605341,-5.020946872,12.16347266,4.226064663
-0.73378361,0.285561161,0.304132219,1.238875501,0.231223619,-3.200983132,-0.400192373,1.143956757,-5.459774108,-10.54411726,11.07534619,1.816641768
