,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
254,-1.3426618576,5.2326173782,4.4990234375,-0.774266541,0.6994546652,-4.4282364845,-0.0210727304,1.1334511042,3.0066356659,1.6439802647,1.4713150263,6.6671390533,2.3654408455000002,11.3384332657,9.0536527634,3.1270346642,9.5343151093,1.4526485205,11.5325651169,-7.0844812393
255,3.9390280247,1.8362452984,-1.3846615553,2.0453102589,-6.0895562172,-5.1702303886,-9.6511268616,-0.6977338195,3.1587677002,0.1599924415,4.7864875793,6.9639363289,3.1858341694,9.9141788483,12.2857589722,8.1445932388,9.3905830383,5.281150341,13.5812149048,-3.5434436798
256,5.8028793335,-2.7939832211,-6.2332882881,3.015969038,-9.2199306488,0.5071895719,-13.0745649338,-1.5563933849,2.2506418228,0.0339934826,8.6532554626,8.6364555359,5.0310192108,4.9619526863,9.2123174667,9.3625831604,8.8567209244,8.0279273987,13.1304187775,4.1676926613
257,-2.1574552059,-7.5726103783,-7.1759471893,2.3225078583,-8.0915393829,5.829012394,-8.8251333237,0.4539900124,-2.5251853466,0.2822580934,10.2165765762,11.3356332779,8.06432724,0.0843930691,-0.8946655393,5.5378146172,7.6984639168,4.9563531876,6.0044775009,10.6104393005
258,-12.6760349274,-9.2105970383,-6.0970225334,3.3547661304,-3.074914217,5.9344782829,-3.8038415909,3.1233012676,-8.4396696091,0.5837222934,7.0152692795,10.5021743774,10.5096406937,-4.7549004555,-7.4260783195,1.0923848152,1.693446517,0.94211936,-4.2686376572,12.1905603409
259,-17.4947948456,-4.1986384392,-2.8098497391,5.1635513306,2.2357087135,4.7846212387,3.1513011456,0.8907864094,-9.5223274231,-1.2371960878,1.9062447548,4.0640935898,8.3573913574,-7.062081337,-5.1347637177,-1.1531966925,-4.7511672974,-0.5997346044,-8.1848726273,12.1616268158
260,-9.2367305756,4.7043552399,0.2822580934,0.6751881838,6.2340755463,2.0210437775,6.9770030975,-4.9462323189,-4.3965034485,-2.1565217972,-5.6826262474,-6.7503504753,0.5333226919,-6.0484895706,-4.6419677734,-4.4254364967,-11.8127088547,-2.4225196838,-11.136048317,3.0691685677
261,8.4488573074,6.3264751434,0.5034562945,-4.9919652939,7.59019804,-2.7631835938,5.5424814224,-6.9538154602,3.6618301868,0.7003880143,-15.0270824432,-16.9674663544,-8.2371387482,-7.4606113434,-8.6767349243,-8.851266861,-16.3160057068,-8.3986034393,-14.0993566513,-11.9004411697
262,18.495174408,2.8003706932,1.5730475187,-6.5711522102,4.5092897415,-4.1286387444,5.1178183556,-4.0091733932,11.7014970779,1.6505135298,-14.1534900665,-18.6259860992,-11.2172470093,-6.9771490097,-10.6236524582,-10.5601863861,-10.738451004,-13.3816289902,-11.8659086227,-19.6853103638
263,11.2423009872,1.9006447792,6.1052765846,-6.6000852585,0.1814589351,-3.2783792019,4.1350264549,1.5730475187,13.414150238,-0.8302660584,-6.0904893875,-9.8004589081,-9.9413909912,-0.6268010736,-4.4058365822,-5.6751594543,-1.7113255262,-7.4624781609,-3.9186406136,-16.5325374603
264,-3.64797616,0.1683923751,8.7223215103,-3.0422477722,-2.5597186089,-1.6730591059,2.7313046455,7.0012693405,3.7999625206,-0.4317360222,-1.2866623402,1.003718853,-7.6398100853,6.0614104271,5.5051484108,3.0187687874,7.6685972214,2.5231730938,8.5692567825,-5.2252964973
265,-9.0957975388,-0.327203542,5.4444823265,3.5927641392,-2.0230562687,0.5921221972,-0.0266726837,7.3298001289,-9.6837930679,1.7195795774,5.4640822411,8.6943225861,-2.9965147972,11.6408309937,9.4344491959,10.2688426971,15.8295965195,8.573923111,17.9771785736,6.8043375015
266,-3.5817101002,0.426923573,-2.1033222675,8.0325946808,-1.0794639587,1.679446578,-5.4922275543,3.7056965828,-13.2173643112,2.5791726112,13.6185483932,15.4366664886,8.6299228668,14.8122720718,10.2903089523,13.0613527298,16.4511909485,12.8709545135,20.0566291809,15.5355987549
267,5.5947475433,-1.3650616407,-8.8242006302,8.1408596039,-3.6255764961,3.163434267,-6.9388823509,1.0391851664,-7.1087474823,3.0010356903,17.5235824585,18.2282428741,21.5406169891,7.568731308,9.2552509308,10.6403064728,12.4602909088,12.2633590698,16.0619945526,18.3682422638
268,8.3377914429,-1.7383918762,-10.0412569046,5.2839503288,-5.1916966438,2.9478361607,-6.5496854782,-0.1498716623,1.2902498245,0.7433210015,13.6381483078,12.4789581299,21.6096820831,-7.0042152405,3.5367646217,3.7952959538,3.001969099,6.5420732498,2.4615736008,12.0281610489
269,-1.2017296553,-1.3445285559,-4.6335682869,1.9146447182,-2.4047863483,-0.0229393803,-4.2499713898,-1.3613283634,4.2610254288,-3.2914457321,1.606647253,1.7037130594,5.6628804207,-15.2062807083,0.0022604116,-3.707709074,-10.415520668,-0.7052004337,-12.9224328995,0.7265211344
270,-10.7608509064,-2.3833198547,1.1707841158,-3.6703760624,2.4597067833,0.6117220521,2.9039697647,-3.7655751705,1.183850646,-3.9643735886,-10.3847208023,-11.34324646,-13.0950984955,-11.199514389,-2.95358181,-11.4440450668,-18.1079902649,-8.3967370987,-20.5878372192,-9.8256587982
271,-9.2404632568,-2.5690517426,4.9591526985,-8.3239374161,5.667547226,0.7433210015,8.3097915649,-5.0992975235,1.6813132763,-3.9382405281,-17.7822589874,-21.9514255524,-22.5935535431,-3.1029140949,-9.8097925186,-18.098657608,-19.367980957,-14.0265569687,-21.5416946411,-14.0433568954
272,2.7294380665,-1.0635974407,7.2392673492,-7.7938089371,5.249417305,-2.7977166176,9.7853794098,-2.8434495926,7.1198019981,-2.762250185,-19.5798454285,-20.2761058807,-18.9013175964,1.8642450571,-11.5392446518,-17.5041294098,-11.9293746948,-14.3317546844,-13.4777622223,-11.8808422089
273,14.0525445938,3.6562302113,7.270067215,-5.15716362,2.0135772228,-4.5626354218,5.9260783195,2.7471711636,8.9752531052,2.7210381031,-11.5345783234,-7.4176783562,-6.9071493149,3.792495966,-3.4351780415,-2.4365196228,1.407848835,-5.4894275665,1.8138455153,-8.4126033783
