15m/min,20m/min,30m/min,40m/min,50m/min,60m/min,70m/min,80m/min,90m/min,100m/min,110m/min,120m/min,°
-1.817859505,0.522776208,1.551784228,-3.096117647,5.333439775,1.134324323,0.09782518,3.069758335,7.390093792,-3.856126218,-1.618323205,-4.685597937,0.138004844
-0.340746074,0.508474972,2.230071446,-1.980621197,2.495665839,1.915444243,3.273380702,8.299243829,9.257426677,-4.829972325,-3.65795194,-1.55090309,-0.344832142
-0.513041924,-0.172536292,0.800628804,0.50234587,-1.164088692,1.867773454,5.207452692,8.514443388,4.681030985,-2.298653458,-0.724836427,1.060094095,-0.594763276
-1.523662639,-0.63494294,-1.283946675,1.300491071,-3.433218223,1.826231767,4.313965913,6.531338588,-0.675803616,-0.632218895,4.875800206,4.842430654,-0.189561574
-1.095987566,-1.198820267,-2.150193002,1.064180163,-4.156452185,0.526181265,1.870497499,2.027811101,-4.310360731,0.048111357,4.853326834,6.667540841,0.073308774
1.559956363,-1.354771846,-1.920692206,0.488044634,-3.074325287,-2.189691655,-1.178389929,-5.412917967,-6.386764074,2.045517394,1.023319487,6.818725342,-0.195009664
3.812060612,-0.267196858,-0.039058084,-0.496697654,-1.973130073,-4.370289722,-4.563696921,-10.36250783,-4.350540395,2.524949324,0.047430346,3.878118705,-0.49465462
2.537207526,0.639229134,1.578343667,0.160478216,-1.16272667,-5.083308515,-5.236536049,-10.84670684,-1.510723425,2.790543716,-0.48375844,-3.627306433,-0.515765969
-1.037420597,0.872134986,0.876221054,0.503707893,1.431926245,-3.645693737,-3.362393051,-5.610411233,-0.158916067,2.056413574,-3.022568431,-8.092016278,-0.152105954
-3.385547434,0.449226992,-0.199776743,-1.069428126,4.101490399,0.246285635,-2.056894459,1.443503437,1.968563121,-0.237913373,-4.985923904,-9.137368568,0.230622376
-2.869340897,-0.237232362,-0.933906885,-1.040144642,4.439952997,3.400048798,0.084885966,4.789992787,3.868584547,-1.575419495,-3.732863179,-7.216916804,0.447864969
-0.658097323,-0.438811696,-0.910752502,-0.27400697,2.77079439,5.174764151,2.992123051,7.339017947,2.827999336,-3.559205307,0.478510476,-2.577868076,0.401556203
0.276931142,-0.530748217,0.334817099,-0.320315736,-0.594763276,4.979994929,5.91774744,9.957506256,-0.754800923,-5.37137628,2.834128437,3.344205874,0.052878436
-0.480353383,-0.649244177,0.777474421,-0.496016642,-3.519706653,2.516777188,5.859861482,8.952333631,-2.81213595,-5.422452124,-0.013860668,9.833562206,-0.32780686
-0.51644698,-0.509636868,-0.549816532,-1.187924086,-4.183692636,-1.283265663,1.993079527,3.182806204,-2.157003115,-3.951467795,-3.492466203,10.64668966,-0.756162945
1.000846115,-1.24376701,-2.071195695,-1.396994544,-3.277266644,-5.366609201,-1.202906334,-6.603325656,-2.421916496,2.144264027,-2.097074123,4.527122439,-1.068066104
1.841214015,-1.711621748,-2.034421087,-1.459647581,-2.088901988,-6.815120159,-3.134935289,-13.82749314,-2.6881919,7.644110993,1.295723993,-1.175665884,-1.140934309
0.673960709,-0.35981439,-0.2093109,-1.118460937,-0.378882705,-5.553887298,-5.445606507,-13.44612683,0.542525535,8.84405284,0.336860133,-4.354626463,-0.901218344
-0.957742279,0.626970932,1.44009838,1.336584668,2.163332343,-3.231638889,-5.064921211,-8.921487997,3.175996092,6.722021742,-1.99832749,-6.069412825,-0.450388888
-1.601978935,0.264672939,2.106127396,2.73333877,3.242054184,1.673685244,-3.157408661,-2.492741668,2.455486175,-0.325082815,0.05492147,-8.342628423,0.110764394
-1.113693859,-0.152105954,1.819421654,1.113893985,1.993760538,5.588137988,-1.953380747,5.748856646,1.774474911,-6.058516645,2.27501819,-8.954176538,0.485320589
-0.668312492,0.110764394,0.312343728,0.242880579,0.104635292,6.367895885,0.382487888,12.99822155,0.30825766,-6.633290151,1.870497499,-2.675252686,0.527543287
-1.13071914,0.895289369,-1.414700837,0.520052163,-0.946846099,6.649153537,3.056138109,14.99698961,-2.799877748,-6.458951268,1.363825119,3.531483971,0.312343728
-1.31391117,0.920486786,-2.099117157,0.108040349,-1.024481383,4.326224116,5.025622684,10.21356649,-5.267862567,-4.782301536,0.581343177,4.801569978,-0.100349098
0.094420123,-0.527343161,-2.403529192,-0.888960142,-1.098711611,-0.910752502,4.529846484,1.565404453,-5.235174027,-2.673890664,-0.951613178,6.51090825,-0.340746074
2.302939652,-1.772912762,-1.900261868,-2.10047918,-1.741586244,-5.504854487,1.500027372,-7.332688719,-3.077049332,-0.149381909,-1.847824001,10.23399683,-0.646520132
3.105851932,-1.744310289,-1.016990259,-2.606470549,-0.967276437,-8.357610671,-0.513041924,-12.90336086,0.107359337,4.683074018,-3.439347324,7.937626848,-1.06602307
1.370635232,-0.378882705,-0.015903701,-1.514128482,0.769983297,-8.62116203,-2.042593222,-13.35146627,3.235925083,6.714530618,-5.067645256,-1.950656702,-1.422191961
-1.563842304,1.134324323,1.391065569,0.225174286,1.322964443,-6.61081678,-4.176882523,-10.27193333,5.912980361,5.210176737,-3.484294068,-9.253821494,-1.100754645
-3.114504951,0.567722952,1.431926245,1.313430285,1.039663757,-1.928864341,-4.679468836,-4.286525336,5.645342934,3.667005213,2.989399005,-10.29713075,0.004526636
-2.827118198,-1.294161843,0.503707893,0.900056448,0.085566977,5.17953123,-3.657270929,2.95943451,2.506562019,1.233751968,8.327846302,-9.756407807,1.011061284
-1.629219385,-1.767464672,0.610626661,0.368867663,-1.613556126,9.534598261,-1.588358709,10.58335561,-1.407890725,-1.138891275,7.001917371,-6.645548354,1.204468483
-0.156873033,-0.068341569,0.464890251,0.445140924,-2.940847079,10.07804525,0.8850742,15.54452266,-5.374100325,-6.28256935,2.896781474,-1.113012847,0.734570711
0.799947793,1.517733665,-0.864443736,-0.149381909,-3.362393051,7.406438062,1.608308163,12.99004941,-7.396022767,-11.68775575,-1.167493748,6.570837242,0.266034962
1.275974666,0.716864418,-2.386503911,-1.070790149,-3.16217574,1.074395332,2.224623356,4.987486053,-5.069007278,-10.50688222,-4.031146112,11.20988597,-0.064255501
1.453718606,-1.586315676,-2.559480772,-1.791981077,-0.735732607,-4.659038498,1.318878376,-4.070644766,-1.462371626,-4.695132095,-5.968623158,9.743668719,-0.811324857
0.908228583,-2.771956286,-1.377245218,-1.968362995,3.573025659,-7.697710757,-0.876020928,-12.09227644,0.470338341,3.583921839,-7.659574126,5.304837302,-1.636029498
